dba_name,address,data_closed,data_opened,reason
Pho America Authentic Vietnamese Cuisine,1826 Pacific,1/30/2012,1/30/2012,Vermin (Cockroaches)
Mama Mia's Pizza,4403 E. 4th St,2/1/2012,2/2/2012,Vermin (Cockroaches)
Happy Mom Nutrition,2144 E. Anaheim,2/2/2012,2/8/2012,No Health Permit
El Pollo Loco,2525 Long Beach Blvd,2/13/2012,2/13/2012,No water
Mariscos Brite Spot,3721 E Anaheim St,2/28/2013,2/29/2012,Sewage
Crow's Nest,1912 W Willow St,3/7/2012,3/9/2012,Vermin (Cockroaches)
Domino's Pizza,1158 E 7th St,3/13/2012,3/14/2012,Vermin (Cockroaches)
Fortune Garden,1538 E 4th St,3/20/2012,3/21/2012,Vermin (Cockroaches)
El Nuevo Altata BBQ,6800 Long Beach Blvd,3/23/2012,3/23/2012,Sewage
Avila's El Ranchito,5345 Long Beach Blvd,5/15/2012,5/15/2012,No warewashing capabilities
Extreme Pizza,21 The Paseo,5/15/2012,5/25/2012,Vermin (Cockroaches)
El Torazo,2801 E 10th St,6/4/2012,6/5/2012,Vermin (Rodents & Cockroaches)
Wardlow Station kitchen,1174 Wardlow Rd,6/27/2012,7/10/2012,Vermin (Cockroaches)
Khun Dom Restaurant,1190 Pacific Ave,6/27/2012,7/9/2012,Vermin (Rodents & Cockroaches)
Joyce Market Meat Dept,1941 Atlantic Ave,6/28/2012,8/21/2012,Vermin (Cockroaches)
Zephyr Vegetarian Café,340 E 4th St,7/11/2012,7/12/2012,Vermin (Cockroaches)
Roll & Bake Filipino Rest,4901 Long Beach Blvd,7/12/2012,OOB 7/17/12,Vermin (Cockroaches)
La Santaneca Bakery,2461 Atlantic Ave,7/12/2012,7/13/2012,Vermin (Cockroaches)
Arteaga's Market,617 E 7th St,8/8/2012,8/9/2012,no refrigeration
Golden Villa,1360 E Anaheim St,8/3/2012,8/8/2012,Vermin (Cockroaches)
Crystal Thai,1165 E 10th St,8/20/2012,8/22/2012,Vermin (Cockroaches)
El Mexicano Market (meat dept only),2005 E 7th St,8/24/2012,8/27/2012,Vermin (Cockroaches)
La Creperie,130 Pine Ave,9/20/2012,9/20/2012,Vermin (Cockroaches)
Monica's Bakery/Rest #2,2016 Pacific Ave,10/16/2012,10/17/2012,Vermin (Rodents)
Siem Reap,1810 E Anaheim St,11/6/2012,11/7/2012,Vermin (Cockroaches)
Pupuseria La Libertad,1260 Long Beach Blvd,11/12/2012,11/16/2012,Vermin (Cockroaches)
Domino's Pizza,1158 E 7th St,12/12/2012,12/13/2012,Vermin (Cockroaches)
El Burrito Grill,4101 Bellflower Blvd,12/12/2012,12/14/2012,Vermin (Cockroaches)
Grand Paradise,1350 E Anaheim Street,1/8/2013,1/11/2013,Vermin (Cockroaches)
Fruitlandia,865 E 7th Street,1/8/2013,1/11/2013,Vermin (Cockroaches)
Coffee Caliente,55 Alamitos Avenue,1/15/2013,1/18/2013,Vermin (Cockroaches)
Super Value Plus,2195 Pacific Avenue,1/16/2013,1/22/2013,Vermin (Cockroaches)
Yanga Mini Mkt,833 E 4th Street,1/17/2013,Temp Clsd,Vermin (Cockroaches)
Kelly's,5716 E 2nd Street,2/4/2013,2/5/2013,Vermin (Cockroaches)
Asha Restaurant,149 Linden Avenue #E,2/20/2013,2/20/2013,Vermin (Cockroaches)
Lush Lounge,49 South Pine Avenue,3/1/2013,3/2/2013,Vermin (Cockroaches)
Rebel Bite,649 East Broadway,3/19/2013,3/21/2013,Vermin (Cockroaches) (Rodents)
Edible Arrangements,681 Redondo Avenue,4/18/2013,4/18/2013,No Hot Water
Christian Outreach Action,515 E 3rd Street,4/29/2013,5/2/2013,Vermin (Cockroaches)
Sports Bar & Grill,720 E Wardlow Road,4/29/2013,4/30/2013,Vermin (Cockroaches)
Wienerschnitzel,101 W Willow Street,5/13/2013,5/14/2013,No Working Refrigeration
Mitaki,200 East 4th Street,7/1/2013,7/4/2013,Vermin (Cockroaches)
Tambuli Mkt,2520 Santa Fe Avenue,7/24/2013,7/27/2013,Vermin (Cockroaches) (Flies)
Chow Fun Express,2520 Santa Fe Avenue,7/24/2013,7/27/2013,Vermin (Cockroaches) (Flies)
Potholder,3700 East Broadway,9/3/2013,9/6/2013,Outbreak Investigation
Zen Buffet,7503 East Carson Blvd,9/6/2013,9/6/2013,Sewage
La Bodega Mkt,1883 East 10th Street,10/1/2013,10/2/2013,Vermin
Tropic Colata,510 E Broadway,10/23/2013,10/25/2013,Vermin (Cockroaches)
Lily Bakery,1171 East Anaheim Street,11/5/2013,11/6/2013,Vermin (Cockroaches)
Khoury's,110 Marina Drive,11/15/2013,11/16/2013,Vermin (Cockroaches)
Lush Lounge,49 South Pine Avenue,11/15/2013,OOB,Vermin (Cockroaches)
Denice's Restaurant,712 Orange Avenue,11/19/2013,11/21/2013,Vermin (Cockroaches) (Rodents)
The Green House,149 Linden Avenue,1/16/2014,1/17/2014,Vermin (Cockroaches)
Bayou Market,1181 East 10th Street,1/16/2014,1/16/2014,Sewage
Rebel Bite,649 East Broadway,2/7/2014,2/11/2014,Vermin (Cockroaches)
Jersey Mikes Sub,3821 Lakewood Blvd #102,2/20/2014,2/20/2014,No Hot Water
Thai Sky,2415 Pacific Avenue,2/27/2014,3/1/2014,Vermin (Rodents)
Khoury's,110 Marina Drive,3/12/2014,3/14/2014,Vermin (Cockroaches)
La Copa Empanadas,407 Shoreline Drive,3/21/2014,3/21/2014,No Hot Water
Khoury's,110 Marina Drive,3/26/2014,3/31/2014,Permit Suspension
Ramirez Ice Cream,Lic# 4F93328,3/26/2014,4/2/2014,Vermin (Cockroaches)
Sura Korean BBQ,621 Atlantic Avenue,4/1/2014,4/2/2014,Vermin (Cockroaches)
Casa Sanchez,3948 East Anaheim Street,4/2/2014,4/2/2014,Lack of Electricity
Hot Wings Grill,1169 East 10th Street,4/15/2014,4/15/2015,No Hot Water
Yayo Bakery,129 East Pacific Coast Hwy,4/22/2014,4/23/2014,Vermin (Cockroaches) Lack of warewashing sink
Rick & Brian's Café,632 Redondo Avenue,4/23/2014,4/24/2014,Vermin (Cockroaches)
May's Thai Kitchen,3832 East Anaheim Street,5/29/2014,5/30/2014,Vermin (Cockroaches)
Roxanne,1115 E Wardlow Road,6/3/2014,6/5/2014,Vermin (Cockroaches)
La Bodega #2,1001 East 10th Street,6/4/2014,6/5/2014,Vermin (Cockroaches)
Vinh Heng Market,2148 E Anaheim Street,6/19/2014,6/20/2014,No Hot Water
Casa Moreno,2427 E Anaheim Street,6/20/2014,7/11/2014,Vermin (Cockroaches) (Rodents)
Roma Pizza,1000 East Anaheim Street,7/9/2014,7/18/2014,Vermin (Cockroaches)
Taqueria Los Plebes,755 W Willow Street,8/7/2014,8/8/2014,Sewage
